"id_user","count","category","class"
"9,121",39,top_5_10,you
"9,123",116,top_5,you
"9,138",6,top_10_15,you
"9,141",4,top_5_10,you
"9,145",20,top_5_10,you
"9,159",43,top_5_10,you
"9,162",314,top_5,you
"9,163",2,top_10_15,you
"9,172",1,top_10_15,you
"9,193",4,top_5_10,you
"9,194",1,top_5,you
"9,208",2,top_5_10,you
"9,213",76,top_5,you
"9,218",29,top_10_15,you
"9,237",8,top_5_10,you
"9,239",31,top_5,you
"9,261",267,top_5,you
"9,270",2,top_10_15,you
"9,273",78,top_5,you
"9,274",897,top_5,you
"9,316",41,top_5,you
"9,327",18,top_5,you
"9,328",2,top_10_15,you
"9,344",6,top_10_15,you
"9,381",383,top_5,you
"9,386","5,699",top_5,you
"9,387",410,top_5,you
"9,393",5,top_5_10,you
"9,406",16,top_5_10,you
"9,409",89,top_5,you
"9,410",9,top_5,you
"9,412",250,top_5,you
"9,419",3,top_10_15,you
"9,421",3,top_10_15,you
"9,437",85,top_5,you
"9,445",106,top_5,you
"9,449",31,top_5,you
"9,453",1,top_10_15,you
"9,464",145,top_5,you
"9,467",3,top_5_10,you
"9,470",8,top_10_15,you
"9,479",19,top_5,you
"9,483",14,top_10_15,you
"9,488",15,top_5,you
"9,496",10,top_5_10,you
"9,504",11,top_5,you
"9,510",10,top_5_10,you
"9,553",1,top_10_15,you
"9,571",3,top_10_15,you
"9,575",7,top_10_15,you
"9,596",3,top_10_15,you
"9,600",1,top_10_15,you
"9,602",25,top_5_10,you
"9,628",2,top_10_15,you
"9,631",2,top_10_15,you
"9,640",47,top_5,you
"9,667",9,top_5_10,you
"9,676",5,top_10_15,you
"9,683",2,top_10_15,you
"9,689",9,top_10_15,you
"9,695",27,top_5,you
"9,718",4,top_10_15,you
"9,727",16,top_5,you
"9,730",27,top_5_10,you
"9,735",2,top_5_10,you
"9,752",135,top_5,you
"9,762",1,top_10_15,you
"9,844",6,top_5_10,you
"9,857",22,top_5,you
"9,878",858,top_5,you
"9,902",1,top_10_15,you
"9,904",7,top_10_15,you
"9,910",19,top_5_10,you
"9,921",2,top_5_10,you
"9,930",27,top_10_15,you
"9,932",137,top_5,you
"9,942",199,top_5,you
"9,949",265,top_5,you
"9,964",2,top_10_15,you
"9,995",21,top_5,you
"10,007",2,top_10_15,you
"10,009",7,top_10_15,you
