"id_user","class","class2","modularity_class","citations","avg_part"
"32,129",ordinary,ordinary,56,0,2
"32,130",ordinary,ordinary,56,0,2
"32,132",ordinary,ordinary,44,0,4
"32,133",top_5_10,outstanding,44,0,2
"32,135",ordinary,ordinary,9,0,1
"32,139",ordinary,ordinary,44,0,1
"32,142",top_5,outstanding,44,0,1.2371794872
"32,143",top_5,outstanding,56,0,1.9243027888
"32,144",ordinary,ordinary,46,1,10
"32,145",ordinary,ordinary,44,0,2
"32,146",top_10_15,outstanding,56,0,1
"32,147",top_10_15,outstanding,56,0,1.5
"32,148",top_5_10,outstanding,9,3,2
"32,149",ordinary,ordinary,44,0,1
"32,151",top_5_10,outstanding,9,0,2.9
"32,154",ordinary,ordinary,44,0,1
"32,155",ordinary,ordinary,44,0,1
"32,157",ordinary,ordinary,44,0,1
"32,158",ordinary,ordinary,43,0,1.5
"32,159",ordinary,ordinary,44,0,4
"32,160",ordinary,ordinary,44,0,1
"32,162",ordinary,ordinary,44,0,1
"32,164",ordinary,ordinary,16,0,1
"32,165",ordinary,ordinary,43,0,2
"32,166",ordinary,ordinary,44,0,1
"32,167",ordinary,ordinary,44,0,2
"32,168",ordinary,ordinary,44,0,1
"32,170",ordinary,ordinary,44,1,1.6666666667
"32,173",ordinary,ordinary,44,0,1
"32,177",ordinary,ordinary,56,0,1
"32,178",ordinary,ordinary,44,0,2
"32,179",top_5,outstanding,56,7,2.5789473684
"32,184",ordinary,ordinary,44,0,3
"32,187",ordinary,ordinary,56,0,1
"32,189",top_5,outstanding,56,0,1.2666666667
"32,190",top_5_10,outstanding,44,0,3
"32,191",ordinary,ordinary,31,0,1
"32,192",top_5_10,outstanding,44,0,1.4615384615
"32,194",ordinary,ordinary,43,1,2
"32,196",ordinary,ordinary,44,0,2
"32,198",top_5,outstanding,56,248,2.5297619048
"32,200",top_5_10,outstanding,56,0,1.4444444444
"32,202",ordinary,ordinary,44,0,1
"32,205",ordinary,ordinary,56,0,1.5
"32,206",ordinary,ordinary,44,0,1
"32,207",ordinary,ordinary,56,0,2
"32,209",ordinary,ordinary,44,0,4
"32,210",ordinary,ordinary,47,0,3
"32,211",ordinary,ordinary,44,0,1
"32,212",top_5_10,outstanding,44,0,2.1666666667
"32,213",ordinary,ordinary,44,0,2
"32,220",top_10_15,outstanding,16,1,1
"32,221",ordinary,ordinary,44,0,1
"32,222",top_5_10,outstanding,56,3,4.5
"32,223",ordinary,ordinary,43,0,8
"32,224",ordinary,ordinary,44,1,2
"32,226",ordinary,ordinary,44,1,6
"32,227",ordinary,ordinary,56,0,1.5
"32,228",ordinary,ordinary,44,0,1
"32,231",ordinary,ordinary,44,0,3
"32,234",ordinary,ordinary,44,0,1
"32,236",ordinary,ordinary,56,0,1
"32,237",ordinary,ordinary,44,0,1
"32,238",ordinary,ordinary,44,0,1.8
"32,240",top_5,outstanding,56,1,1.4
"32,241",ordinary,ordinary,44,0,2
"32,242",ordinary,ordinary,44,0,1
"32,243",ordinary,ordinary,44,0,3
"32,245",ordinary,ordinary,44,0,1
"32,247",ordinary,ordinary,44,0,1
"32,248",ordinary,ordinary,44,0,1.3333333333
"32,249",ordinary,ordinary,44,0,1
"32,250",ordinary,ordinary,56,0,1
"32,252",ordinary,ordinary,44,0,1
"32,254",ordinary,ordinary,56,0,1.3333333333
"32,255",ordinary,ordinary,44,0,1
"32,256",ordinary,ordinary,56,0,1
"32,257",top_5,outstanding,56,168,1.8994252874
"32,258",ordinary,ordinary,44,0,1
"32,259",ordinary,ordinary,56,0,3
"32,261",ordinary,ordinary,44,0,2
"32,262",ordinary,ordinary,44,0,1
"32,263",ordinary,ordinary,44,0,1
"32,266",ordinary,ordinary,41,0,2
"32,267",top_5,outstanding,47,0,1.3157894737
"32,268",ordinary,ordinary,56,0,3
"32,270",top_10_15,outstanding,56,1,1.5
"32,271",ordinary,ordinary,56,0,1
"32,272",ordinary,ordinary,44,0,1.25
"32,273",ordinary,ordinary,44,0,4
"32,274",top_5_10,outstanding,43,0,1.8333333333
"32,276",top_5,outstanding,43,3,1.5217391304
"32,277",ordinary,ordinary,31,0,1
"32,278",ordinary,ordinary,44,0,1
"32,280",ordinary,ordinary,44,0,1
"32,281",ordinary,ordinary,30,0,2
"32,282",ordinary,ordinary,9,0,1.5
"32,283",ordinary,ordinary,44,0,1
"32,285",ordinary,ordinary,44,0,1
"32,286",ordinary,ordinary,46,0,1
"32,289",ordinary,ordinary,46,0,1
"32,292",ordinary,ordinary,44,0,1
"32,293",ordinary,ordinary,44,0,4
"32,294",ordinary,ordinary,44,0,1
"32,295",ordinary,ordinary,44,0,4
"32,297",ordinary,ordinary,56,0,2
"32,298",ordinary,ordinary,44,0,1
"32,300",ordinary,ordinary,43,0,3
"32,301",ordinary,ordinary,44,0,3
"32,303",top_10_15,outstanding,44,0,1
"32,306",ordinary,ordinary,56,0,1.5
"32,308",ordinary,ordinary,44,0,1
"32,309",top_5,outstanding,56,6,1.25
"32,313",ordinary,ordinary,44,0,1.3333333333
"32,314",top_10_15,outstanding,44,2,1.4285714286
"32,319",ordinary,ordinary,44,0,1
"32,320",top_5,outstanding,56,5,1.1304347826
"32,323",top_10_15,outstanding,44,0,1
"32,324",ordinary,ordinary,44,0,1
"32,325",ordinary,ordinary,56,0,1
"32,326",ordinary,ordinary,43,0,1
"32,328",top_5_10,outstanding,56,0,1.5
"32,330",ordinary,ordinary,44,0,4
"32,331",ordinary,ordinary,56,0,1
"32,332",top_10_15,outstanding,9,0,2
"32,334",ordinary,ordinary,44,0,1.5
"32,340",ordinary,ordinary,44,0,1
"32,343",top_10_15,outstanding,56,0,1
"32,344",ordinary,ordinary,56,0,1
"32,345",ordinary,ordinary,44,0,2
"32,346",ordinary,ordinary,44,0,1
"32,347",ordinary,ordinary,43,3,5.5
"32,348",ordinary,ordinary,47,0,1
"32,349",ordinary,ordinary,44,0,4
"32,350",top_5_10,outstanding,56,0,1.1666666667
"32,351",top_10_15,outstanding,43,1,2
"32,353",top_5_10,outstanding,44,0,1
"32,355",ordinary,ordinary,44,0,1
"32,359",ordinary,ordinary,44,0,5
"32,361",ordinary,ordinary,44,0,4
"32,362",ordinary,ordinary,46,0,3
"32,363",ordinary,ordinary,44,0,1
"32,366",ordinary,ordinary,56,0,1
"32,367",ordinary,ordinary,44,0,1
"32,368",top_5,outstanding,9,5,1.4255319149
"32,369",ordinary,ordinary,41,0,2
"32,370",ordinary,ordinary,44,0,1
"32,371",top_5_10,outstanding,43,0,1.5714285714
"32,372",ordinary,ordinary,44,0,1.3333333333
"32,374",ordinary,ordinary,44,0,1
"32,375",ordinary,ordinary,56,0,1.5
"32,380",ordinary,ordinary,56,0,2.5
"32,383",ordinary,ordinary,56,0,1
"32,385",top_5,outstanding,41,2,1.3333333333
"32,388",ordinary,ordinary,56,0,1
"32,389",ordinary,ordinary,56,0,1.5
"32,390",ordinary,ordinary,16,0,1
"32,391",ordinary,ordinary,44,0,1
"32,392",ordinary,ordinary,56,0,1.25
"32,393",ordinary,ordinary,44,0,1
"32,395",ordinary,ordinary,44,0,2
"32,400",top_5,outstanding,16,0,1.8598130841
"32,401",ordinary,ordinary,44,0,1.5
"32,402",ordinary,ordinary,44,0,1
"32,403",ordinary,ordinary,16,0,1
"32,404",ordinary,ordinary,44,0,1
"32,405",ordinary,ordinary,44,0,1
"32,407",ordinary,ordinary,56,0,1
"32,408",ordinary,ordinary,44,0,3
"32,409",ordinary,ordinary,44,0,1
"32,410",ordinary,ordinary,44,0,3.5
"32,414",ordinary,ordinary,44,0,1
"32,415",ordinary,ordinary,56,0,2
"32,416",top_10_15,outstanding,44,0,1
"32,417",top_5,outstanding,30,9,2.4237288136
"32,419",ordinary,ordinary,44,0,1
"32,421",ordinary,ordinary,44,0,1
"32,422",ordinary,ordinary,56,0,1
"32,424",top_10_15,outstanding,44,0,2.8
"32,427",top_5,outstanding,46,0,1.4615384615
"32,428",ordinary,ordinary,31,1,1.5
"32,429",ordinary,ordinary,56,0,2
"32,432",ordinary,ordinary,16,2,3
"32,433",ordinary,ordinary,44,0,1
"32,434",ordinary,ordinary,44,0,1
"32,435",ordinary,ordinary,44,0,1
"32,436",ordinary,ordinary,44,0,2
"32,437",ordinary,ordinary,44,0,2.5
"32,438",ordinary,ordinary,44,0,1
"32,440",ordinary,ordinary,56,0,2
"32,441",ordinary,ordinary,56,0,1
"32,442",ordinary,ordinary,44,1,3
"32,443",top_5,outstanding,56,2,1.4166666667
"32,444",top_10_15,outstanding,44,0,1
"32,445",ordinary,ordinary,44,0,1
"32,446",top_10_15,outstanding,56,0,1
"32,447",top_5_10,outstanding,56,0,2
"32,449",ordinary,ordinary,44,0,1
"32,450",ordinary,ordinary,44,0,1
"32,451",ordinary,ordinary,56,0,1
"32,452",top_5,outstanding,9,0,1.3333333333
"32,454",ordinary,ordinary,44,0,1
"32,455",ordinary,ordinary,56,0,1.2
"32,456",ordinary,ordinary,44,0,2
"32,457",top_5,outstanding,56,0,1.125
"32,458",ordinary,ordinary,16,0,1
"32,459",ordinary,ordinary,31,0,1
"32,462",ordinary,ordinary,31,1,1.8571428571
"32,464",ordinary,ordinary,56,1,2
"32,465",top_5_10,outstanding,27,0,1
"32,469",top_5,outstanding,16,3,1.5555555556
"32,470",top_10_15,outstanding,44,0,1
"32,471",ordinary,ordinary,47,0,1
"32,474",ordinary,ordinary,44,1,8
"32,476",ordinary,ordinary,44,0,2
"32,477",top_5_10,outstanding,56,0,1.6
"32,478",top_5,outstanding,44,14,1.7213114754
"32,480",ordinary,ordinary,44,0,1.5
"32,481",ordinary,ordinary,44,1,2
"32,482",ordinary,ordinary,44,0,6
