"id","betweenness","closeness","clustering_coefficient","degree","eccentricity","eigenvector","harmonic_closeness","id_community","id_user","indegree","interactions","modularity_class","outdegree","page_rank","strongly_component","weakly_component","id_graph_analysis_context","class","class2"
"500,298",0,0,0,1,0,0.002892032,0,3,"31,517",1,1,44,0,0.0000331348,438,0,145,ordinary,ordinary
"499,164",0,0,0,1,0,0.0001927139,0,3,"30,169",1,1,56,0,0.0000177562,"2,227",0,145,ordinary,ordinary
"496,827",0,0.269539027,0.5,3,8,0.0001927139,0.2812574405,3,"42,978",1,4,16,2,0.0000155522,"5,393",0,145,ordinary,ordinary
"498,159",0,0,0,1,0,0.0090253526,0,3,"29,178",1,1,31,0,0.0000512321,"1,004",0,145,ordinary,ordinary
"500,634",0,0,0,1,0,0.0024606713,0,3,"31,927",1,1,9,0,0.0000223703,873,0,145,ordinary,ordinary
"495,659",0,0,0,1,0,0.0003123348,0,3,"40,635",1,1,44,0,0.0000236145,368,0,145,ordinary,ordinary
"496,906",0,0,0,1,0,0.0021403521,0,3,"43,190",1,2,9,0,0.0000262221,433,0,145,ordinary,ordinary
"499,375",0,0.2131438721,0,1,9,0,0.2188887386,3,"30,403",0,1,44,1,0.0000155522,"6,699",0,145,ordinary,ordinary
"491,567",0,0,0.1666666716,3,0,0.0010371754,0,3,"35,353",3,3,56,0,0.0000308382,538,0,145,ordinary,ordinary
"500,768",0,0,0,1,0,0.0060984874,0,3,"32,097",1,1,56,0,0.0000462397,899,0,145,ordinary,ordinary
"500,960",0,0,0,5,0,0.0055277585,0,3,"32,319",5,5,44,0,0.0000532026,0,0,145,ordinary,ordinary
"493,824",0,0,0,1,0,0.0032976794,0,3,"38,163",1,1,31,0,0.0000368621,727,0,145,ordinary,ordinary
"492,205",0,0,0,1,0,0.00452579,0,3,"36,109",1,1,30,0,0.0000340792,"1,030",0,145,ordinary,ordinary
"497,351",0,0.2927640699,0.400000006,7,7,0.0001927139,0.3078986291,3,"44,188",1,8,9,6,0.0000155522,"5,689",0,145,ordinary,ordinary
"491,624","21,202.0632549912",0.2594995822,0.113636367,13,8,0.0054865325,0.2703697941,3,"35,421",9,20,56,4,0.0000817713,"1,043",0,145,ordinary,ordinary
"500,001",0,0.2951305417,0.5,9,7,0.0055227437,0.3114929776,3,"47,538",2,10,43,7,0.0000322891,"1,043",0,145,ordinary,ordinary
"493,355",0,0.287378218,0.5,2,7,0,0.3008297258,3,"37,554",0,2,56,2,0.0000155522,"3,289",0,145,ordinary,ordinary
"498,000",0,0.2231377023,0,2,8,0,0.229461637,3,"45,404",0,2,9,2,0.0000155522,"5,992",0,145,ordinary,ordinary
"501,056","34,946.4991415208",0.31312652,0.2181818187,13,7,0.0129372943,0.330587052,3,"32,429",2,19,56,11,0.0000406202,"1,043",0,145,ordinary,ordinary
"490,819",257.3004773636,0.2953947737,0.6071428657,9,7,0.0147657642,0.3094575091,3,"34,481",3,14,56,6,0.0000552869,"1,043",0,145,ordinary,ordinary
"491,755","10,695.6357983443",0.3096914232,0.5357142687,10,7,0.0111745269,0.3262743665,3,"35,560",3,12,56,7,0.0000764211,"1,043",0,145,ordinary,ordinary
"499,495","31,447.3129550494",0.2908700204,0.0666666701,7,7,0.0008278168,0.3046193814,3,"30,537",1,7,56,6,0.0000262645,"1,043",0,145,ordinary,ordinary
"499,072","42,862.7932255934",0.2860626422,0.0604395606,15,7,0.0033968118,0.3012651206,3,"46,448",1,19,9,14,0.0000503655,"1,043",0,145,ordinary,ordinary
"501,144","10,484.181868271",0.2831929618,0.3000000119,8,7,0.0017664151,0.2954009147,3,"32,527",3,8,56,5,0.0000278146,"1,043",0,145,ordinary,ordinary
"495,370",50.9610094694,0.2303630651,0.2333333343,7,8,0.0043709497,0.2370206749,3,"40,074",5,11,43,2,0.0000615132,"1,043",0,145,ordinary,ordinary
"497,716",573.3155780107,0.2974587254,0.4111111164,12,7,0.0016798638,0.3135749015,3,"45,007",3,13,9,9,0.000037782,"1,043",0,145,ordinary,ordinary
"495,964","5,093.7222497519",0.3033036484,0.282051295,14,7,0.0024098679,0.319644323,3,"41,226",3,19,30,11,0.0000653029,"1,043",0,145,ordinary,ordinary
"494,746",55.3216672511,0.2796228614,0.5666666627,7,7,0.0032250705,0.2918315157,3,"39,312",3,15,9,4,0.0000335471,"1,043",0,145,ordinary,ordinary
