"id_user","count_i_usage","category","class","class2"
"10,606",15,top_5,top_5,outstanding
"10,609",9,top_50_100,ordinary,ordinary
"10,610",45,top_5,top_5,outstanding
"10,611",5,top_5,top_5,outstanding
"10,613",12,top_20_25,ordinary,ordinary
"10,615",2,top_35_40,ordinary,ordinary
"10,616",1,top_50_100,ordinary,ordinary
"10,617",14,top_50_100,ordinary,ordinary
"10,618",2,top_50_100,ordinary,ordinary
"10,622",2,top_50_100,ordinary,ordinary
"10,623",3,top_50_100,ordinary,ordinary
"10,626",1,top_30_35,ordinary,ordinary
"10,627",28,top_5_10,top_5_10,outstanding
"10,632",7,top_50_100,ordinary,ordinary
"10,633",2,top_30_35,ordinary,ordinary
"10,635",63,top_5,top_5,outstanding
"10,638",3,top_30_35,ordinary,ordinary
"10,640",1,top_30_35,ordinary,ordinary
"10,641",1,top_30_35,ordinary,ordinary
"10,642",9,top_50_100,ordinary,ordinary
"10,650",2,top_50_100,ordinary,ordinary
"10,655",3,top_50_100,ordinary,ordinary
"10,659",111,top_5,top_5,outstanding
"10,660",99,top_5,top_5,outstanding
"10,661",16,top_5_10,top_5_10,outstanding
"10,662",2,top_50_100,ordinary,ordinary
"10,663",266,top_5,top_5,outstanding
"10,668",40,top_10_15,top_10_15,outstanding
"10,672",65,top_5,top_5,outstanding
"10,679",2,top_50_100,ordinary,ordinary
"10,680",16,top_5_10,top_5_10,outstanding
"10,681",1,top_50_100,ordinary,ordinary
"10,682",23,top_5,top_5,outstanding
"10,685",3,top_50_100,ordinary,ordinary
"10,687",3,top_50_100,ordinary,ordinary
"10,689",9,top_35_40,ordinary,ordinary
"10,690",1,top_15_20,ordinary,ordinary
"10,691",3,top_50_100,ordinary,ordinary
"10,693",6,top_50_100,ordinary,ordinary
"10,694",1,top_50_100,ordinary,ordinary
"10,698",12,top_50_100,ordinary,ordinary
"10,699",6,top_50_100,ordinary,ordinary
"10,701",4,top_50_100,ordinary,ordinary
"10,707",6,top_50_100,ordinary,ordinary
"10,709",3,top_15_20,ordinary,ordinary
"10,711",4,top_10_15,top_10_15,outstanding
"10,716",7,top_25_30,ordinary,ordinary
"10,717",5,top_30_35,ordinary,ordinary
"10,721",4,top_35_40,ordinary,ordinary
"10,727",1,top_50_100,ordinary,ordinary
"10,728",67,top_5_10,top_5_10,outstanding
"10,729",2,top_50_100,ordinary,ordinary
"10,730",2,top_50_100,ordinary,ordinary
"10,733",9,top_5_10,top_5_10,outstanding
"10,734",13,top_10_15,top_10_15,outstanding
"10,735",2,top_35_40,ordinary,ordinary
"10,736",7,top_50_100,ordinary,ordinary
"10,737",6,top_5,top_5,outstanding
"10,738",1,top_20_25,ordinary,ordinary
"10,744",6,top_50_100,ordinary,ordinary
"10,745",2,top_50_100,ordinary,ordinary
"10,749",25,top_30_35,ordinary,ordinary
"10,753",1,top_50_100,ordinary,ordinary
"10,754",2,top_50_100,ordinary,ordinary
"10,757",3,top_15_20,ordinary,ordinary
"10,759",7,top_50_100,ordinary,ordinary
"10,761",3,top_15_20,ordinary,ordinary
"10,762",2,top_50_100,ordinary,ordinary
"10,764",4,top_25_30,ordinary,ordinary
"10,765",17,top_45_50,ordinary,ordinary
"10,768",2,top_50_100,ordinary,ordinary
"10,771",2,top_45_50,ordinary,ordinary
"10,773",4,top_15_20,ordinary,ordinary
"10,774",8,top_20_25,ordinary,ordinary
"10,775",12,top_50_100,ordinary,ordinary
"10,776",2,top_50_100,ordinary,ordinary
"10,782",10,top_5,top_5,outstanding
"10,784",17,top_15_20,ordinary,ordinary
"10,786",45,top_5,top_5,outstanding
"10,789",3,top_10_15,top_10_15,outstanding
"10,790",2,top_25_30,ordinary,ordinary
"10,791",22,top_50_100,ordinary,ordinary
"10,792",8,top_5,top_5,outstanding
"10,793",2,top_50_100,ordinary,ordinary
"10,794",1,top_20_25,ordinary,ordinary
"10,795",7,top_50_100,ordinary,ordinary
"10,797",1,top_50_100,ordinary,ordinary
"10,798",2,top_50_100,ordinary,ordinary
"10,801",11,top_5_10,top_5_10,outstanding
"10,805",1,top_35_40,ordinary,ordinary
"10,807",5,top_15_20,ordinary,ordinary
"10,810",1,top_45_50,ordinary,ordinary
"10,812",2,top_45_50,ordinary,ordinary
"10,816",11,top_25_30,ordinary,ordinary
"10,821",6,top_25_30,ordinary,ordinary
"10,828",24,top_5_10,top_5_10,outstanding
"10,829",1,top_30_35,ordinary,ordinary
"10,836",1,top_50_100,ordinary,ordinary
"10,837",4,top_25_30,ordinary,ordinary
"10,839",1,top_15_20,ordinary,ordinary
"10,842",3,top_50_100,ordinary,ordinary
