"id_user","count_i_usage","category","class","class2"
"33,739",13,top_50_100,ordinary,ordinary
"33,740",2,top_50_100,ordinary,ordinary
"33,744",3,top_50_100,ordinary,ordinary
"33,746",6,top_25_30,ordinary,ordinary
"33,753",1,top_5,top_5,outstanding
"33,757",1,top_30_35,ordinary,ordinary
"33,760",20,top_40_45,ordinary,ordinary
"33,767",4,top_20_25,ordinary,ordinary
"33,768",23,top_15_20,ordinary,ordinary
"33,775",2,top_25_30,ordinary,ordinary
"33,776",7,top_50_100,ordinary,ordinary
"33,777",3,top_20_25,ordinary,ordinary
"33,780",36,top_15_20,ordinary,ordinary
"33,784",3,top_50_100,ordinary,ordinary
"33,788",5,top_10_15,top_10_15,outstanding
"33,790",3,top_5,top_5,outstanding
"33,792",5,top_40_45,ordinary,ordinary
"33,794",4,top_25_30,ordinary,ordinary
"33,797",10,top_30_35,ordinary,ordinary
"33,798",25,top_40_45,ordinary,ordinary
"33,799",7,top_40_45,ordinary,ordinary
"33,811",4,top_20_25,ordinary,ordinary
"33,812",1,top_15_20,ordinary,ordinary
"33,824",8,top_15_20,ordinary,ordinary
"33,826",18,top_5_10,top_5_10,outstanding
"33,830",3,top_50_100,ordinary,ordinary
"33,832",1,top_50_100,ordinary,ordinary
"33,834",86,top_5,top_5,outstanding
"33,835",6,top_50_100,ordinary,ordinary
"33,836",3,top_50_100,ordinary,ordinary
"33,837",4,top_50_100,ordinary,ordinary
"33,839",85,top_5,top_5,outstanding
"33,841",2,top_50_100,ordinary,ordinary
"33,844",5,top_45_50,ordinary,ordinary
"33,847",6,top_50_100,ordinary,ordinary
"33,848",10,top_50_100,ordinary,ordinary
"33,851",4,top_45_50,ordinary,ordinary
"33,852",132,top_5,top_5,outstanding
"33,856",5,top_40_45,ordinary,ordinary
"33,861",16,top_10_15,top_10_15,outstanding
"33,868",4,top_20_25,ordinary,ordinary
"33,869",1,top_50_100,ordinary,ordinary
"33,871",15,top_10_15,top_10_15,outstanding
"33,872",33,top_5,top_5,outstanding
"33,874",3,top_15_20,ordinary,ordinary
"33,875",19,top_5_10,top_5_10,outstanding
