"id_user","count_they_usage","category","class","class2"
"8,176",35,top_5,top_5,outstanding
"8,178",5,top_10_15,top_10_15,outstanding
"8,183",3,top_50_100,ordinary,ordinary
"8,190",2,top_45_50,ordinary,ordinary
"8,192",3,top_20_25,ordinary,ordinary
"8,194",4,top_45_50,ordinary,ordinary
"8,201",14,top_5_10,top_5_10,outstanding
"8,202",3,top_15_20,ordinary,ordinary
"8,209",1,top_20_25,ordinary,ordinary
"8,210",1,top_10_15,top_10_15,outstanding
"8,216",8,top_5,top_5,outstanding
"8,219",1,top_50_100,ordinary,ordinary
"8,220",1,top_15_20,ordinary,ordinary
"8,223",5,top_50_100,ordinary,ordinary
"8,229",27,top_5_10,top_5_10,outstanding
"8,230",10,top_50_100,ordinary,ordinary
"8,231",21,top_5,top_5,outstanding
"8,233",1,top_30_35,ordinary,ordinary
"8,235",1,top_35_40,ordinary,ordinary
"8,239",1,top_50_100,ordinary,ordinary
"8,241",1,top_50_100,ordinary,ordinary
"8,258",4,top_30_35,ordinary,ordinary
"8,263",6,top_20_25,ordinary,ordinary
"8,269",16,top_5,top_5,outstanding
"8,270",242,top_5,top_5,outstanding
"8,274",7,top_5,top_5,outstanding
"8,275",4,top_5_10,top_5_10,outstanding
"8,276",2,top_10_15,top_10_15,outstanding
"8,280",13,top_5_10,top_5_10,outstanding
"8,282",1,top_15_20,ordinary,ordinary
"8,283",2,top_15_20,ordinary,ordinary
"8,303",3,top_10_15,top_10_15,outstanding
"8,304",6,top_5_10,top_5_10,outstanding
"8,311",1,top_5_10,top_5_10,outstanding
"8,313",64,top_5,top_5,outstanding
"8,314",2,top_50_100,ordinary,ordinary
"8,319",6,top_50_100,ordinary,ordinary
"8,326",16,top_5,top_5,outstanding
"8,334",4,top_50_100,ordinary,ordinary
"8,337",7,top_5,top_5,outstanding
"8,341",22,top_10_15,top_10_15,outstanding
"8,345",1,top_20_25,ordinary,ordinary
"8,349",1,top_50_100,ordinary,ordinary
"8,350",16,top_5,top_5,outstanding
"8,352",3,top_10_15,top_10_15,outstanding
"8,353",5,top_5_10,top_5_10,outstanding
"8,355",4,top_5_10,top_5_10,outstanding
"8,359",9,top_35_40,ordinary,ordinary
"8,361",4,top_10_15,top_10_15,outstanding
"8,362",21,top_10_15,top_10_15,outstanding
"8,363",1,top_30_35,ordinary,ordinary
"8,364",2,top_20_25,ordinary,ordinary
"8,365",3,top_15_20,ordinary,ordinary
"8,366",12,top_15_20,ordinary,ordinary
"8,371",2,top_45_50,ordinary,ordinary
"8,379",1,top_20_25,ordinary,ordinary
"8,382",1,top_50_100,ordinary,ordinary
"8,383",1,top_50_100,ordinary,ordinary
"8,387",7,top_5_10,top_5_10,outstanding
"8,388",2,top_20_25,ordinary,ordinary
"8,391",3,top_50_100,ordinary,ordinary
"8,392",1,top_5_10,top_5_10,outstanding
"8,394",1,top_20_25,ordinary,ordinary
"8,396",2,top_15_20,ordinary,ordinary
"8,398",13,top_5,top_5,outstanding
"8,400",4,top_50_100,ordinary,ordinary
"8,402",3,top_20_25,ordinary,ordinary
"8,404",4,top_45_50,ordinary,ordinary
"8,406",9,top_50_100,ordinary,ordinary
"8,407",28,top_5,top_5,outstanding
"8,408",10,top_5,top_5,outstanding
"8,410",6,top_50_100,ordinary,ordinary
"8,423",102,top_5,top_5,outstanding
"8,424",2,top_50_100,ordinary,ordinary
"8,425",3,top_30_35,ordinary,ordinary
"8,428",2,top_10_15,top_10_15,outstanding
"8,431",1,top_25_30,ordinary,ordinary
"8,436",1,top_30_35,ordinary,ordinary
"8,437",2,top_10_15,top_10_15,outstanding
"8,439",2,top_20_25,ordinary,ordinary
"8,444",1,top_50_100,ordinary,ordinary
"8,458",2,top_25_30,ordinary,ordinary
"8,467",2,top_10_15,top_10_15,outstanding
"8,476",1,top_35_40,ordinary,ordinary
"8,478",46,top_5,top_5,outstanding
"8,479",2,top_50_100,ordinary,ordinary
"8,480",4,top_20_25,ordinary,ordinary
"8,483",2,top_20_25,ordinary,ordinary
"8,488",1,top_45_50,ordinary,ordinary
"8,490",5,top_10_15,top_10_15,outstanding
"8,493",2,top_10_15,top_10_15,outstanding
"8,498",1,top_5_10,top_5_10,outstanding
"8,501",3,top_45_50,ordinary,ordinary
"8,506",4,top_30_35,ordinary,ordinary
"8,507",22,top_5,top_5,outstanding
"8,510",3,top_35_40,ordinary,ordinary
"8,512",12,top_5,top_5,outstanding
"8,517",3,top_5_10,top_5_10,outstanding
"8,518",2,top_35_40,ordinary,ordinary
"8,519",2,top_50_100,ordinary,ordinary
"8,521",1,top_35_40,ordinary,ordinary
"8,523",3,top_25_30,ordinary,ordinary
"8,524",7,top_10_15,top_10_15,outstanding
"8,527",26,top_5,top_5,outstanding
"8,528",1,top_50_100,ordinary,ordinary
"8,529",9,top_10_15,top_10_15,outstanding
"8,531",1,top_50_100,ordinary,ordinary
"8,532",1,top_50_100,ordinary,ordinary
"8,533",63,top_5,top_5,outstanding
"8,535",18,top_5,top_5,outstanding
"8,537",1,top_45_50,ordinary,ordinary
"8,544",1,top_15_20,ordinary,ordinary
"8,546",7,top_10_15,top_10_15,outstanding
"8,554",4,top_50_100,ordinary,ordinary
"8,561",2,top_50_100,ordinary,ordinary
