"id_user","count_she_he_usage","category","class","class2"
"7,882",1,top_5_10,top_5_10,outstanding
"7,885",72,top_5,top_5,outstanding
"7,887",1,top_20_25,ordinary,ordinary
"7,898",50,top_5,top_5,outstanding
"7,901",6,top_10_15,top_10_15,outstanding
"7,902",6,top_5,top_5,outstanding
"7,915",1,top_10_15,top_10_15,outstanding
"7,920",4,top_20_25,ordinary,ordinary
"7,936",1,top_35_40,ordinary,ordinary
"7,942",1,top_5,top_5,outstanding
"7,943",44,top_5,top_5,outstanding
"7,947",5,top_5,top_5,outstanding
"7,976",1,top_20_25,ordinary,ordinary
"7,993",17,top_5,top_5,outstanding
"7,998",1,top_50_100,ordinary,ordinary
"8,006",1,top_5,top_5,outstanding
"8,014",2,top_5,top_5,outstanding
"8,020",1,top_15_20,ordinary,ordinary
"8,031",1,top_5_10,top_5_10,outstanding
"8,033",3,top_5,top_5,outstanding
"8,041",1,top_5_10,top_5_10,outstanding
"8,044",1,top_30_35,ordinary,ordinary
"8,048",1,top_10_15,top_10_15,outstanding
"8,074",4,top_10_15,top_10_15,outstanding
"8,077",8,top_5_10,top_5_10,outstanding
"8,081",2,top_15_20,ordinary,ordinary
"8,116",2,top_15_20,ordinary,ordinary
"8,122",2,top_15_20,ordinary,ordinary
"8,124",28,top_5,top_5,outstanding
"8,129",6,top_5,top_5,outstanding
"8,130",1,top_5_10,top_5_10,outstanding
"8,135",104,top_5,top_5,outstanding
"8,149",1,top_5_10,top_5_10,outstanding
"8,175",1,top_50_100,ordinary,ordinary
"8,183",1,top_50_100,ordinary,ordinary
"8,192",1,top_20_25,ordinary,ordinary
"8,201",1,top_5_10,top_5_10,outstanding
"8,216",4,top_5,top_5,outstanding
"8,223",4,top_50_100,ordinary,ordinary
"8,229",5,top_5_10,top_5_10,outstanding
"8,231",5,top_5,top_5,outstanding
"8,248",1,top_50_100,ordinary,ordinary
"8,258",7,top_30_35,ordinary,ordinary
"8,270",12,top_5,top_5,outstanding
"8,274",1,top_5,top_5,outstanding
"8,275",1,top_5_10,top_5_10,outstanding
"8,282",2,top_15_20,ordinary,ordinary
"8,303",1,top_10_15,top_10_15,outstanding
"8,326",4,top_5,top_5,outstanding
"8,341",1,top_10_15,top_10_15,outstanding
"8,353",2,top_5_10,top_5_10,outstanding
"8,364",2,top_20_25,ordinary,ordinary
"8,368",1,top_50_100,ordinary,ordinary
"8,398",7,top_5,top_5,outstanding
"8,404",1,top_45_50,ordinary,ordinary
"8,408",7,top_5,top_5,outstanding
"8,423",3,top_5,top_5,outstanding
