"id_user","betweenness","closeness","clustering_coefficient","indegree","outdegree","class","class2"
"7,372",16.5638048928,0.2709290826,0.5,2,4,ordinary,ordinary
"13,223",0,0.2740806119,0,0,1,ordinary,ordinary
"8,354",0,0.2648396634,0,0,2,ordinary,ordinary
"13,827","7,565",0.2967376067,0.5,1,3,ordinary,ordinary
"12,981",0,0.2842670572,0.5,0,2,ordinary,ordinary
"16,447","8,261.7323872011",0.2995433203,0.1666666716,1,10,ordinary,ordinary
"19,799",0,0.3060446781,0.5333333611,1,6,ordinary,ordinary
"26,069",0,0.2875925926,0.2857142985,1,8,ordinary,ordinary
"20,737","19,961.1857491873",0.2813727267,0.1818181872,8,5,ordinary,ordinary
"20,564",0,0.2949594732,0.2222222239,0,9,ordinary,ordinary
"25,673",35.9920811347,0.2552480132,0.3333333433,3,3,ordinary,ordinary
"22,893",0,0.2801058137,0.4166666567,0,4,ordinary,ordinary
"7,408",0,0.2458306945,0,0,2,ordinary,ordinary
"6,891",184.6442039899,0.257591681,0.4166666567,3,2,ordinary,ordinary
"13,075","20,289.7337091239",0.279766911,0.25,8,6,ordinary,ordinary
"26,401",0,0.3028274293,0.3000000119,1,6,ordinary,ordinary
"9,263",0,0.2915440946,0.349999994,1,5,ordinary,ordinary
"16,118","15,013.8772149165",0.2940767871,0.2757352889,12,7,ordinary,ordinary
"12,506","1,349.1118858356",0.3181010929,0.3777777851,4,9,ordinary,ordinary
"11,379",28.5497128926,0.2913720828,0.400000006,3,3,ordinary,ordinary
"10,177",0,0.2288002358,0,1,1,ordinary,ordinary
"13,753",88.2055321393,0.2844143154,0.3333333433,2,4,ordinary,ordinary
"18,450","8,779.65587182",0.3090655694,0.3181818128,6,6,ordinary,ordinary
"7,316",420.226069548,0.2554019963,0.0500000007,4,2,ordinary,ordinary
"12,294",0,0.2528504724,0.6666666865,2,2,ordinary,ordinary
"12,421",0,0,0,1,0,ordinary,ordinary
"7,520",0,0.2194892093,0,0,1,ordinary,ordinary
"8,433",0,0,0.0833333358,4,0,ordinary,ordinary
"20,316","7,859.2443780789",0.2864612167,0.1545454562,6,7,ordinary,ordinary
"23,401",0,0.292246895,0.190476194,1,7,ordinary,ordinary
"16,977","1,253.1298316888",0.3268070175,0.330409348,2,19,ordinary,ordinary
"9,048",0,0.3012609117,0.277777791,1,10,ordinary,ordinary
"11,635","15,658.9490968872",0.3160287731,0.2666666806,1,10,ordinary,ordinary
"10,794",0,0.2749704841,0.0833333358,0,4,ordinary,ordinary
"17,053",0,0.2621446665,0.6666666865,2,2,ordinary,ordinary
"17,430",0,0.2760787103,0,0,2,ordinary,ordinary
"11,588",0,0.3085585586,0.400000006,0,6,ordinary,ordinary
"18,188",29.3082155689,0.285075906,0.3333333433,1,3,ordinary,ordinary
"21,610","7,585.0964593394",0.2872209202,0.3666666746,2,6,ordinary,ordinary
"21,558",0,0.2882425743,0.5,1,2,ordinary,ordinary
"23,833",0,0.2945863901,0,0,2,ordinary,ordinary
"8,079","7,652.2269934556",0.3107567063,0.4107142985,2,7,ordinary,ordinary
"8,132",168.6197002747,0.2858809085,0,1,2,ordinary,ordinary
"14,078",752.1197333782,0.2761340053,0.095238097,6,2,ordinary,ordinary
"9,907",0,0.3158822732,0.5500000119,0,5,ordinary,ordinary
"16,050",0,0.260614197,0,0,2,ordinary,ordinary
"19,060","17,086.7053157635",0.2962091337,0.2523809671,5,11,ordinary,ordinary
"23,726",0,0.3060647874,0.3000000119,1,6,ordinary,ordinary
"7,791",0,0.2699663846,0,0,2,ordinary,ordinary
"7,248",0,0.2572627858,0,0,1,ordinary,ordinary
