"display_name","count","id_user","category","class","class2"
supercat,1,"14,244",top_10_15,top_10_15,outstanding
Mehrdad,1,"6,930",top_15_20,ordinary,ordinary
Wayne,1,"19,525",no_participation,ordinary,ordinary
mousomer,1,"16,556",top_15_20,ordinary,ordinary
Southbob,1,"23,525",top_15_20,ordinary,ordinary
user29995,1,"25,794",top_50_100,ordinary,ordinary
LamonteCristo,1,"10,376",top_10_15,top_10_15,outstanding
Amu,1,"7,387",top_20_25,ordinary,ordinary
ktamlyn,1,"9,679",top_20_25,ordinary,ordinary
ngramsky,1,"9,971",top_20_25,ordinary,ordinary
Kal,1,"7,719",top_5,top_5,outstanding
K-Feldspar,1,"22,028",top_10_15,top_10_15,outstanding
Lucian,1,"22,360",top_20_25,ordinary,ordinary
prash,1,"8,886",top_20_25,ordinary,ordinary
aretaon,1,"20,737",top_20_25,ordinary,ordinary
Matoeil,1,"11,301",top_20_25,ordinary,ordinary
Lili,1,"12,271",top_20_25,ordinary,ordinary
username,1,"8,327",no_participation,ordinary,ordinary
mikemanne,1,"7,529",top_20_25,ordinary,ordinary
sumelic,1,"19,806",top_20_25,ordinary,ordinary
user2606722,1,"9,642",top_20_25,ordinary,ordinary
andthereitgoes,1,"17,899",top_50_100,ordinary,ordinary
Butallati,1,"19,913",top_20_25,ordinary,ordinary
zakrapovic,1,"20,186",top_50_100,ordinary,ordinary
city7lights,1,"18,531",top_10_15,top_10_15,outstanding
user307640,1,"28,011",top_20_25,ordinary,ordinary
user137927,1,"23,110",top_50_100,ordinary,ordinary
obelix,1,"11,373",top_20_25,ordinary,ordinary
Alexandria,1,"8,408",top_5,top_5,outstanding
M.Y.Ard.Ir,1,"18,879",top_20_25,ordinary,ordinary
dshulgin,1,"16,904",top_10_15,top_10_15,outstanding
mrt,1,"17,766",top_20_25,ordinary,ordinary
shortage_radeon,1,"16,258",top_20_25,ordinary,ordinary
Hawk81,1,"14,810",top_50_100,ordinary,ordinary
Raedwald,1,"25,110",top_20_25,ordinary,ordinary
Jill,1,"19,100",top_50_100,ordinary,ordinary
Tiberia,1,"11,551",top_20_25,ordinary,ordinary
mcv,1,"10,997",top_20_25,ordinary,ordinary
AJMansfield,1,"12,728",top_20_25,ordinary,ordinary
user22053,1,"19,496",top_50_100,ordinary,ordinary
bantandor,1,"23,890",top_20_25,ordinary,ordinary
Nova,1,"21,134",top_10_15,top_10_15,outstanding
Transcriptase,1,"7,446",top_5,top_5,outstanding
QUANTUM,1,"25,182",top_20_25,ordinary,ordinary
Ceeee,1,"18,676",top_20_25,ordinary,ordinary
oakad,1,"10,974",top_20_25,ordinary,ordinary
homnid,1,"19,299",top_10_15,top_10_15,outstanding
user46147,1,"17,153",top_20_25,ordinary,ordinary
cherry8.8vanilla,1,"11,635",top_20_25,ordinary,ordinary
piscean_1993,1,"11,802",top_20_25,ordinary,ordinary
Gossar,1,"9,488",top_5,top_5,outstanding
Eden,1,"28,070",top_20_25,ordinary,ordinary
Singh,1,"10,564",top_10_15,top_10_15,outstanding
Mr-Bauer,1,"18,379",top_50_100,ordinary,ordinary
randomblink,1,"11,837",top_20_25,ordinary,ordinary
Jarnal,1,"8,079",top_20_25,ordinary,ordinary
user6318,1,"11,113",top_50_100,ordinary,ordinary
Linuxios,1,"10,064",top_20_25,ordinary,ordinary
SlowMagic,1,"13,657",top_20_25,ordinary,ordinary
DoctorWhom,1,"11,109",top_5,top_5,outstanding
jeffrey,1,"9,092",top_50_100,ordinary,ordinary
ton.yeung,1,"10,007",top_10_15,top_10_15,outstanding
jablesauce,1,"15,271",top_20_25,ordinary,ordinary
liyuan,1,"19,060",top_20_25,ordinary,ordinary
marcin,1,"9,718",top_10_15,top_10_15,outstanding
Zenadix,1,"15,854",top_20_25,ordinary,ordinary
amr,1,"7,359",top_10_15,top_10_15,outstanding
