"display_name","count","id_user","category","class","class2"
user1491819,1,"41,821",top_10_15,top_10_15,outstanding
NMJD,1,"49,138",top_5,top_5,outstanding
Danxe,1,"34,201",top_10_15,top_10_15,outstanding
Freeman,1,"30,527",top_10_15,top_10_15,outstanding
ipcamit,1,"35,970",top_10_15,top_10_15,outstanding
chemistrylove,1,"50,852",top_10_15,top_10_15,outstanding
coteyr,1,"43,287",top_10_15,top_10_15,outstanding
Jx1,1,"37,060",top_10_15,top_10_15,outstanding
venture,1,"33,479",top_10_15,top_10_15,outstanding
MikeW,1,"47,499",no_participation,ordinary,ordinary
DevSolar,1,"41,537",top_10_15,top_10_15,outstanding
dark32,1,"40,571",top_10_15,top_10_15,outstanding
GiantSpruce,1,"49,804",top_10_15,top_10_15,outstanding
user456,1,"37,926",top_10_15,top_10_15,outstanding
karl,1,"49,262",no_participation,ordinary,ordinary
Srishti,1,"44,082",top_10_15,top_10_15,outstanding
MathCurious314,1,"43,678",top_10_15,top_10_15,outstanding
Rupin,1,"29,429",top_10_15,top_10_15,outstanding
DarcyThomas,1,"37,184",top_10_15,top_10_15,outstanding
