"id_user","entropy","layer_1","layer_2","layer_3","layer_4","class","class2"
"12,897",0,1,0,0,1,ordinary,ordinary
"12,899",0,1,1,1,0,ordinary,ordinary
"12,901",0,1,0,0,0,ordinary,ordinary
"12,902",0,0,0,2,0,ordinary,ordinary
"12,903",5.2476424899,7,2,11,6,top_5_10,outstanding
"12,905",3.6888794541,1,2,4,5,top_10_15,outstanding
"12,908",0,2,0,2,2,ordinary,ordinary
"12,909",0,1,0,0,1,ordinary,ordinary
"12,910",0.4101163183,0,0,6,7,ordinary,ordinary
"12,913",8.7387721006,20,16,27,46,top_5,outstanding
"12,914",0,5,0,0,5,ordinary,ordinary
"12,915",0,2,0,2,0,ordinary,ordinary
"12,916",0,0,2,0,2,ordinary,ordinary
"12,917",0,0,0,1,0,ordinary,ordinary
"12,918",0,1,0,1,1,top_10_15,outstanding
"12,922",0,0,0,5,5,ordinary,ordinary
"12,923",0,1,0,0,1,ordinary,ordinary
"12,924",3.2178932106,3,1,3,17,top_5_10,outstanding
"12,928",5.6070907282,7,4,3,9,top_10_15,outstanding
"12,929",0,0,0,0,1,ordinary,ordinary
"12,933",4.5726360113,7,7,11,9,top_10_15,outstanding
"12,934",0,0,2,0,2,ordinary,ordinary
"12,937",1.0986122887,0,0,3,0,ordinary,ordinary
"12,939",2.10576872,5,1,14,1,ordinary,ordinary
"12,940",0,0,0,1,1,ordinary,ordinary
"12,941",0,2,0,0,0,ordinary,ordinary
"12,943",0.5004024235,5,0,0,4,ordinary,ordinary
"12,944",0,2,2,2,0,ordinary,ordinary
"12,945",0,0,4,4,0,ordinary,ordinary
"12,949",0,2,0,0,0,ordinary,ordinary
"12,950",2.8265441237,2,5,5,6,top_10_15,outstanding
"12,954",0.5004024235,3,0,1,5,ordinary,ordinary
"12,958",0.6931471806,0,2,0,0,ordinary,ordinary
"12,959",0.6931471806,2,0,0,1,ordinary,ordinary
"12,960",0,1,0,0,0,ordinary,ordinary
"12,962",0,0,2,0,2,ordinary,ordinary
"12,963",7.5478392674,20,54,26,38,top_5,outstanding
"12,964",0.6931471806,13,0,14,6,ordinary,ordinary
"12,967",0,0,1,0,0,ordinary,ordinary
"12,970",0,0,0,1,0,ordinary,ordinary
"12,971",0.6931471806,4,0,0,2,ordinary,ordinary
"12,974",0.6931471806,0,1,0,2,ordinary,ordinary
"12,978",0.6931471806,0,1,2,0,ordinary,ordinary
"12,981",0.6931471806,1,0,2,0,ordinary,ordinary
"12,984",1.0986122887,0,3,0,0,ordinary,ordinary
"12,985",1.0986122887,0,0,3,0,ordinary,ordinary
"12,989",0,1,0,0,0,ordinary,ordinary
"12,991",0.6931471806,0,2,1,1,top_10_15,outstanding
"12,992",3.5886424299,1,1,5,12,ordinary,ordinary
"12,993",0.6931471806,0,0,4,1,ordinary,ordinary
"12,994",0,0,0,1,1,ordinary,ordinary
"12,995",0,1,0,0,0,ordinary,ordinary
"12,999",0.6931471806,0,0,0,6,ordinary,ordinary
"13,000",1.0986122887,0,0,0,3,top_10_15,outstanding
"13,001",0.6931471806,0,2,0,1,ordinary,ordinary
"13,002",5.0457106476,18,9,9,14,top_5,outstanding
"13,003",0,0,1,1,1,ordinary,ordinary
"13,004",0,1,0,1,0,top_5_10,outstanding
"13,007",0,0,0,1,1,ordinary,ordinary
"13,008",0,1,0,1,0,ordinary,ordinary
"13,010",4.0801979934,6,3,14,3,ordinary,ordinary
"13,011",0,0,1,0,1,ordinary,ordinary
"13,013",0,1,1,0,0,ordinary,ordinary
"13,014",1.3862943611,2,4,2,4,ordinary,ordinary
"13,016",0,1,0,1,0,ordinary,ordinary
"13,017",0,0,1,1,0,ordinary,ordinary
"13,019",0,0,0,3,0,ordinary,ordinary
"13,023",1.3862943611,1,2,2,1,top_10_15,outstanding
"13,024",0,0,0,1,0,ordinary,ordinary
"13,025",0,0,0,5,0,top_10_15,outstanding
"13,026",1.0397207708,0,4,1,1,ordinary,ordinary
"13,027",0,0,0,1,0,ordinary,ordinary
"13,035",1.8038006619,11,3,3,8,top_5_10,outstanding
"13,038",0,0,1,1,1,ordinary,ordinary
"13,039",0.9556998911,0,7,0,1,top_5_10,outstanding
"13,044",0.6931471806,0,2,0,0,ordinary,ordinary
"13,045",0.6931471806,0,1,0,2,ordinary,ordinary
"13,050",0,2,2,0,0,ordinary,ordinary
"13,051",0.6931471806,0,0,4,3,ordinary,ordinary
"13,053",1.735126457,0,0,3,3,ordinary,ordinary
"13,054",2.8466796372,2,3,5,2,ordinary,ordinary
"13,056",0,0,1,0,0,ordinary,ordinary
"13,058",0.6931471806,6,0,3,0,ordinary,ordinary
"13,059",0.8305236915,0,16,5,0,top_10_15,outstanding
"13,060",0,2,2,2,1,ordinary,ordinary
"13,062",0.6931471806,2,1,1,1,ordinary,ordinary
"13,063",0.6365141683,1,3,2,1,ordinary,ordinary
"13,067",2.5257286443,5,1,5,2,ordinary,ordinary
"13,068",0.6931471806,0,2,0,4,ordinary,ordinary
"13,072",0.6931471806,0,0,2,1,ordinary,ordinary
"13,074",2.8544888514,7,2,5,13,ordinary,ordinary
